produit,manquants_avant,imputes_lvl1,imputes_lvl2,imputes_lvl3,imputes_lvl4,manquants_apres
Baby carottes,8,6,1,1,0,0
Bananes Prix Bas,15,9,3,3,0,0
Beurre tendre doux,3,2,0,1,0,0
Bifensis croquettes à la dinde pour chat sensible,0,0,0,0,0,0
Boisson gazeuse aux extraits végétaux goût original,7,5,0,2,0,0
Bâtonnet glacé au chocolat blanc,17,17,0,0,0,0
CULTIVONS LE BON Truffe noire entière extra,261,101,45,115,0,0
Camembert au lait pasteurisé,4,3,0,1,0,0
Capsules de café sontuoso intensité 8 compatibles Nespresso,124,83,20,21,0,0
Cerneaux de noix,5,4,1,0,0,0
Dattes ravier,74,46,18,10,0,0
Eau de source plate,7,5,1,1,0,0
Farine T65,124,83,20,21,0,0
Feeling extra préservatifs standard,16,12,1,3,0,0
Filets de poulet blanc fermier,135,79,15,41,0,0
Gel douche et bain extra doux à la pêche blanche bio et nectarine bio,22,18,3,1,0,0
Haricots verts extra fins déjà cuits prêts en 3min,6,3,1,2,0,0
Huile d'olive vierge extra,13,12,0,1,0,0
IGP Pays-d'Oc Merlot rouge,5,4,0,1,0,0
Integral 8 Bain de Bouche antibactérien protection complète,312,71,34,207,0,0
Jambon Le Torchon réduit en sel,7,5,2,0,0,0
Just au four frites allumettes,3,3,0,0,0,0
Lait crème nourrissant amande douce peaux sèches à extra sèches,336,16,2,287,31,0
Lait demi-écrémé UHT,15,13,1,1,0,0
Laque fixation normale mouvement souple 48h,253,58,27,168,0,0
Mandarines,282,71,58,153,0,0
Miel pops Céréales au miel,95,68,21,6,0,0
Moutarde fine de Dijon l'Originale en bocal,1,0,0,1,0,0
Olives vertes de Grèce dénoyautées à l'ail thym et persil,211,109,50,52,0,0
Papier toilette blanc aquatube confort 2 épaisseurs,11,8,1,2,0,0
Poireaux botte,71,46,18,7,0,0
Pommes Pink Lady,92,53,21,18,0,0
Pommes bicolores,57,40,10,7,0,0
Pruneaux d'Agen géants dénoyautés IGP,156,101,30,25,0,0
Pur jus d'orange sans pulpe,3,3,0,0,0,0
Pur jus de myrtille cassis pomme et cranberry,35,16,11,8,0,0
Pâte à tartiner aux noisettes,4,4,0,0,0,0
Riz basmati prêt en 11 min,7,6,0,1,0,0
Saumon fumé de Norvège,2,1,1,0,0,0
Shampooing purifiant thé vert cheveux normaux regraissant,9,9,0,0,0,0
Spaghetti n°5,0,0,0,0,0,0
Stylo bille 4 couleurs rétractable pointe moyenne GRIP bleu,296,74,44,178,0,0
Stylo bille 4 couleurs à pointe moyenne,179,81,51,47,0,0
Sucre blanc en poudre,7,7,0,0,0,0
Tomates rondes prix bas,30,21,4,5,0,0
Tomato ketchup flacon souple,77,52,23,2,0,0
Total Dentifrice classique,3,0,1,2,0,0
Yaourt brassé nature,34,21,11,2,0,0
Œufs de poules élevées en plein air bio,42,31,6,5,0,0
